restaurant_name,address,zip_code,restaurant_key
AYAN RESTAURANT LLC,5664 N LINCOLN AVE,60659,279
OUTKAST,7137 S STATE ST,60619,280
WING WAH LAU,4340 S ARCHER AVE,60632,281
7 ELEVEN - LAREDO TACO,9750 WALNUT HILL LN #100,75238,282
SAPA HOUSE BAR,1623 MAIN ST #102,75201,283
PIZZA HUT #034522,2223 S BUCKNER BLVD #245,75227,284
YOSHI DALLAS,3803 SIDNEY ST,75210,285
NEIGHBORHOOD FOOD MART,5001 W DAVIS ST,75211,286
PEGASUS SCHOOL,601 N AKARD ST STE #203,75201,287
TONY'S CHINESE FOOD,3312 W 63RD ST,60629,288
MERCY CIRCLE,3659 W 99TH ST,60655,289
CORNER BAKERY CAFE,35 E MONROE ST,60603,290
FACETS MULTIMEDIA,1517 W FULLERTON AVE,60614,291
LONGACRE CHICAGO/LONGACRE PIZZA BOX,1303-1309 W WILSON AVE,60640,292
NEVERIA LA TROPICANA CORPORATION,7001-7003 S PULASKI RD,60629,293
MARISCOS LUIS-ITO,4225 W 47TH ST,60632,294
SUBWAY,154 N wabash AVE,60601,295
Big Hill Cantina,3307 W BRYN MAWR AVE,60659,296
LA ESCUELITA,5400 W FULLERTON AVE,60639,297
OKAMI SUSHI,6818 W NORTH AVE,60707,298
LAS MOJARRAS RESTAURANT,3522 E 100TH ST,60617,299
JUSTICE OF THE PIES,1500-1502 E 87 ST,60619,300
BRIDGEPORT CHILD DEVELOPMENT CENTER 1,3053 S NORMAL AVE,60616,301
MILANO'S PIZZA,10945 S WESTERN AVE,60643,302
OLD HAG'S PIZZA AND PASTA,1315 W DAVIS ST,75208,303
TACO CABANA #265,4360 DALLAS FT WORTH TPKE,75208,304
LA NORIA DE JIMENEZ,4909 S CROCKER HILL RD #140,75236,305
STOCK & BARREL RESTAURANT,316 W DAVIS ST,75208,306
TAQUERIA EL MAIZ,13517 MONTFORT PL,75240,307
LUNA PREPARATORY SECONDARY,2625 ELM ST,75226,308
BIG SHOULDERS COFFEE WORKS,1105 W CHICAGO AVE,60642,309
POSITANOS PIZZA,4312 W 55TH ST,60632,310
BURGER KING #11862,102 E JEFFERSON BLVD,75203,311
AS TIME GOES BY II LTD.,7706 W BELMONT AVE,60634,312
NAPLES PIZZA 3,2819 W 63RD ST,60629,313
TROPICAL SMOOTHIE CAFE,6448 N SHERIDAN RD,60626,314
St. Bartholomew,4910 W Addison ST,60641,315
G N P H #TWO INC,1765 W LAWRENCE AVE,60640,316
TANOSHI SUSHI MIKES,5547 N CLARK ST,60640,317
HORIZON SCIENCE ACADEMY McKINLEY PARK,2245 W PERSHING RD,60609,318
CHINA SPRING,7005 N CLARK ST,60626,319
ENG'S ASIAN CUISES,7300 N WESTERN AVE,60645,320
CICIS PIZZA,6186 RETAIL RD STE 100,75231,321
RICK'S OLD FASHIONED HAMBURGER,11620 PLANO RD #1-2,75243,322
FAIRMONT HOTEL EMPLOYEE CAFETERIA,1717 N AKARD ST,75201,323
MONARCH PAVILION REHABILITATION SUITES,6825 HARRY HINES BLVD,75081,324
KUNG FU TEA DALLAS-KNOX,3001 KNOX ST #107A,75205,325
LA SABROCITA #3,9009 BRUTON RD #441,75227,326
DODIES REEF,2821 GREENVILLE AVE,75206,327
DRAKE QUICK MART,3524 W MONTROSE AVE,60618,328
HAROLDS CHICKEN,9151 S Ashland AVE,60620,329
MEDITERRANEAN STOP,135 N KEDZIE AVE,60612,330
CATALYST RANCH,656 W RANDOLPH ST,60661,331
VIP NUTRITION,3426 W DIVERSEY AVE,60647,332
SUPER SHOPPER FOOD MART,1351 W 79TH ST,60620,333
THE MINING COMPANY BAR,3903 CEDAR SPRINGS RD,75219,334
DAWALI JERUSALEM KITCHEN,319 S JEFFERSON ST,60661,335
CHIPMONKS,438 W DIVERSEY PKWY,60614,336
LOAVES & WITCHES,6034 N Broadway,60660,337
WHITE ROCK UNITED METHODIST CHURCH,1450 OLD GATE LN,75218,338
PIZZA HUT,8849 S STONY ISLAND AVE,60617,339
DOG HAUS RESTAURANT,2015 W DIVISION AVE,60622,340
PANERA BREAD,6059 N LINCOLN AVE,60659,341
Backyard Grill,6355 N PULASKI RD,60646,342
FORNETTO & MEI'S CORNER,105 -111 E DELAWARE PL,60611,343
TAQUERIA Y CARNITAS DON VALDEZ,3119 W LAWRENCE AVE,60625,344
HIMALAYAN - CURRY AND PIZZA,2312 N LINCOLN AVE,60614,345
JERSEY MIKES SUBS OLD TOWN,230 W HILL ST,60610,346
BRAUM'S ICE CREAM #256,3441 FOREST LN,75234,347
JK GOURMET,4710 W LOVERS LN,75209,348
T D'S BBQ,3403 S LANCASTER RD,75216,349
ALDI INC #64,1753 N MILWAUKEE AVE,60647,350
SNAPPY CONVENIENCE CENTER,3820 S ARCHER AVE,60632,351
Beard Elementary School,6445 W Strong (4932N),60656,352
HEALTHYLILLY NUTRITION CLUB,4636 W 63RD ST,60629,353
"GODDESS AND THE BAKER GRAND, LLC",44 E GRAND AVE,60611,354
Mount Vernon,10540 S Morgan (1000W),60643,355
GIORDANO'S PIZZA,5927 W IRVING PARK RD,60634,356
SPREEZA,4010 MAPLE AVE,75219,357
DUNKIN DONUTS/ BASKIN ROBBINS,3427 W DIVERSEY AVE,60647,358
AUSTIN EMPOWERMENT COALITION,1256 N WALLER AVE,60651,359
DOLLAR TREE STORES #07068,715 E 47TH ST,60653,360
K-BUENA SUPER MARKET INC,4324 W MARQUETTE RD,60629,361
ARAMARK AT METHODIST - SATELLITE/WEISS BUILDING/BANQUET,1441 N BECKLEY AVE,75208,362
RAISING CANE'S CHICKEN FINGERS,5030 GREENVILLE AVE,75206,363
EL DORADO CAFE,8310 C F HAWN FRWY #100,75217,364
HIGHLAND SPRINGS CAFE @ RB 2.3,8080 FRANKFORD,75252,365
PORKCHOP,8307 S SOUTH CHICAGO AVE,60617,366
AFSAR PAAN SHOP INC.,6352 N CLAREMONT AVE,60659,367
OAK HIGHLANDS BREWERY,10484 BROCKWOOD,75238,368
ST. PAUL'S HOUSE AND HEALTHCARE CENTER,3800 N CALIFORNIA AVE,60618,369
DUNKIN DONUTS,7171 W IRVING PARK RD,60634,370
THE BBQ ZONE,3309 E 106th street,60617,371
FAIRMONT CARE CENTER,5061 N PULASKI RD,60630,372
PANDA EXPRESS #1374,4390 DALLAS FT WORTH TPKE #300,75211,373
MCDONALDS,4223 W ILLINOIS AVE,75211,374
PLEASANT GROVE SCHOOL,1614 ST AUGUSTINE RD,75217,375
SUBWAY,3701 W NORTHWEST HWY #300,75220,376
POOL BAR,555 S LAMAR ST #100,75202,377
WINGSTOP,1152 N BUCKNER BLVD #106,75218,378
GILLEY'S,1135 BOTHAM JEAN BLVD,75215,379
STARBUCKS COFFEE #6291,6123 GREENVILLE AVE,75206,380
REY B GONZALEZ CHILDREN & FAMILY CENTER,3050 E 92ND ST,60617,381
CARNITAS LA ESQUINITA,3424 W IRVING PARK RD,60618,382
MUDDER'S,4004 W ADDISON ST,60641,383
ATARDECER ACAPULQUENO,2902-2906 W CERMAK RD BLDG,60623,384
LUCKY'S HOT CHICKEN,3106 FOREST LN,75234,385
NEW DAIRY WAY,1551 CENTERVILLE RD,75228,386
SUSHI TIME,1638 W MOCKINGBIRD LN,75235,387
Chartwells Thompson Hospitality,1010 N NOBLE ST,60642,388
WINTRUST ARENA,200 E CERMAK RD,60616,389
COALFIRE PIZZA,3705-3707 N SOUTHPORT AVE,60613,390
MARIANO'S FRESH MARKET #8508,40 S HALSTED ST,60661,391
YALE APARTMENT,6401 S YALE,60621,392
AMIGO'S ON MADISON,69 E MADISON ST,60603,393
POTBELLY SANDWICH WORKS LLC,150 S WACKER DR,60606,394
LALALAND DALLAS OAK LAWN LLC,3330 OAK LAWN AVE,75219,395
NOLA BRASSERIE,1201 MAIN ST #100,75202,396
PANDERIA LAYA,2019 S EDGEFIELD DR #100,75052,397
POPEYE'S CHICKEN & BISCUITS,50 N WESTERN AVE,60612,398
METHODIST MEDICAL CENTER - STARBUCKS,3500 W WHEATLAND RD,75237,399
"PROJECT APOLLO, LLC",905 W FULTON MARKET,60607,400
FAMILY DOLLAR #1580,1515 S BUCKNER BLVD STE 253,75217,401
JIE SNACK HOUSE INC.,2002 S WENTWORTH AVE,60616,402
HALL ARTS HOTEL BAR AND LOUNGE,1717 LEONARD ST,75201,403
KOKO'S MEDITERRANEAN GRILL,1760 W CHICAGO AVE,60622,404
PERU CRIOLLO RESTAURANT,3938 N CICERO AVE,60641,405
"THREE SONS RESTAURANT, INC.",6200 S ARCHER AVE,60638,406
TAYLOR-MADE SCHOLARS EARLY LEARNING CENTER,2650 E 95TH ST,60617,407
Pasteur,5825 S Kostner (4400W),60629,408
BETTY SHABAZZ INTERNATIONAL CHARTER SCHOOL,7823 S ELLIS AVE,60619,409
INFUSE HOSPITALITY,233 S WACKER DR,60606,410
"NEW YORK DELI, INC.",316 E 47th ST,60653,411
MCDONALD'S,8608 SKILLMAN ST,75243,412
EL RIO GRANDE CREMERIA,10909 WEBB CHAPEL RD #131,75229,413
DALLAS STAR FOOD MART,865 S WALTON WALKER BLVD,75211,414
"AQUA FOOD & LIQUOR, INC.",503 N LaSalle DR,60654,415
ALEX'S GROCERY,5716 W 63RD ST,60638,416
POTBELLY SANDWICH WORKS,545 W MADISON ST,60661,417
CZERWONY KAPTUREK,7626-7630 W FOSTER AVE,60656,418
PARK  PLAZA RETIREMENT CENTER,6840 N SACRAMENTO AVE,60645,419
FIESTA MART #71 MEAT,3434 W ILLINOIS AVE,75211,420
ROBERT ET FILS,4229 N LINCOLN AVE,60618,421
